Code,Server,Service Tier,CMS,Branch,Primary Domain,Admin Link,Web Dir
Solutio-Styles,yale,,3,dalaran,styles.solutiosoftware.com,https://solutio-styles.solutiosoftware.com/administrator,solutio/solutio-styles
Solutio-Support,underhill,,3,dalaran,solutiosupport.com,https://solutio-support.solutiosoftware.com/administrator,solutio/solutio-support
SOTR,valinor,Small,3,dalaran,resurrectionsisters.org,https://sotr.solutiosoftware.com/administrator,nra/sotr
Southington,valinor,,3,dalaran,school.stlukect.org,https://southington.solutiosoftware.com/administrator,hartford/southington
Southold,valinor,,3,dalaran,stpatricksouthold.org,https://southold.solutiosoftware.com/administrator,rc/southold
SPC-Sisters,yale,Small,3,dalaran,www.clavermissionarysisters.org,https://spc-sisters.solutiosoftware.com/administrator,nra/spc-sisters
Spear,moria2,,3,crystalsong,stjohnspearville.com,https://spear.solutiosoftware.com/administrator,dodgecity/spear
Spi-Dye,thalos,,3,dalaran,spiresoffaith.com,https://spi-dye.solutiosoftware.com/administrator,dubuque/spi-dye
SPN-MC,valinor,,3,dalaran,stphilipnerimwc.org,https://spn-mc.solutiosoftware.com/administrator,okc/spn-mc
SPP-Clay,yale,,3,dalaran,www.sspeterandpaulcc.org,https://spp-clay.solutiosoftware.com/administrator,salina/spp-clay
SPP-Horton,thalos,,3,dalaran,ssppp.org,https://spp-horton.solutiosoftware.com/administrator,greenbay/spp-horton
SPP-Manorville,thalos,,3,dalaran,www.saintspeterandpaul.org,https://spp-manorville.solutiosoftware.com/administrator,rc/spp-manorville
SPP-Rock,thalos,,3,dalaran,sspeterandpaul-rockford.org,https://spp-rock.solutiosoftware.com/administrator,rockford/spp-rock
SPX-ForkedRiver,zelda,,3,dalaran,churchofstpius.org,https://spx-forkedriver.solutiosoftware.com/administrator,trenton/spx-forkedriver
SPX-Urban,underhill,Medium,3,dalaran,stpiusxurbandale.org,https://spx-urban.solutiosoftware.com/administrator,desmoines/spx-urban
STA-Fortville,underhill,,3,dalaran,stthomasfortville.com,https://sta-fortville.solutiosoftware.com/administrator,indianapolis/sta-fortville
STA-Grovetown,underhill,,3,dalaran,www.st-teresa.com,https://sta-grovetown.solutiosoftware.com/administrator,atlanta/sta-grovetown
STA-Hempstead,valinor,,3,dalaran,www.stawh.church,https://sta-hempstead.solutiosoftware.com/administrator,rc/sta-hempstead
STA-Hutch,valinor,,3,dalaran,saintteresahutchinson.com,https://sta-hutch.solutiosoftware.com/administrator,wichita/sta-hutch
STA-Wichita,wold,Large,3,dalaran,stthomaswichita.com,https://sta-wichita.solutiosoftware.com/administrator,wichita/sta-wichita
StAgnes-Concord,wold,,3,dalaran,stagnes-concord.solutiosoftware.com,https://stagnes-concord.solutiosoftware.com/administrator,oakland/stagnes-concord
StAgnes-Greenport,wold,,3,dalaran,stagnes-greenport.solutiosoftware.com,https://stagnes-greenport.solutiosoftware.com/administrator,rc/stagnes-greenport
StAgnes-Kirk,moria2,Medium,3,crystalsong,www.stagneshome.com,https://stagnes-kirk.solutiosoftware.com/administrator,nra/stagnes-kirk
StAl-Hick,yale,,3,dalaran,www.staloysiushickory.org,https://stal-hick.solutiosoftware.com/administrator,charlotte/stal-hick
StAl-Pewee,underhill,,3,dalaran,staloysiusky.org,https://stal-pewee.solutiosoftware.com/administrator,louisville/stal-pewee
StAndrew-Delavan,thalos,,3,dalaran,www.standrews-delavan.org,https://standrew-delavan.solutiosoftware.com/administrator,milwaukee/standrew-delavan
StAndrew-Tec,yale,,3,dalaran,www.standrewtecumseh.org,https://standrew-tec.solutiosoftware.com/administrator,lincoln/standrew-tec
StAnne,underhill,,3,dalaran,www.stannewichita.org,https://stanne.solutiosoftware.com/administrator,wichita/stanne
StAnne-Arv,yale,,3,dalaran,www.shrineofstanne.org,https://stanne-arv.solutiosoftware.com/administrator,denver/stanne-arv
StAnne-Blue,valinor,,3,dalaran,stanneholytrinity.org,https://stanne-blue.solutiosoftware.com/administrator,lincoln/stanne-blue
StAnne-Hou,moria2,Medium,3,crystalsong,www.saintanne.org,https://stanne-hou.solutiosoftware.com/administrator,gh/stanne-hou
StAnne-Prairie,wold,,3,dalaran,saint-anne.org,https://stanne-prairie.solutiosoftware.com/administrator,milwaukee/stanne-prairie
StAnne-You,wold,,3,dalaran,stannechurch.net,https://stanne-you.solutiosoftware.com/administrator,lafayette/stanne-you
StAnt-Columbus,wold,,3,dalaran,stanthonycolumbusne.org,https://stant-columbus.solutiosoftware.com/administrator,omaha/stant-columbus
StAnt-Northport,valinor,,3,dalaran,saintanthonyofpadua.org,https://stant-northport.solutiosoftware.com/administrator,rc/stant-northport
StAnt-Nov,valinor,,3,dalaran,stanthonynovato.org,https://stant-nov.solutiosoftware.com/administrator,sanfrancisco/stant-nov
StAnt-Rock,yale,,3,dalaran,www.stanthonyrp.org,https://stant-rock.solutiosoftware.com/administrator,rc/stant-rock
StAnthony-Rock,yale,,3,dalaran,stanthonyrockford.org,https://stanthony-rock.solutiosoftware.com/administrator,rockford/stanthony-rock
Stavola,yale,Tiny,3,dalaran,stavola.solutiosoftware.com,https://stavola.solutiosoftware.com/administrator,nra/stavola
StB-Bro,zelda,,3,dalaran,stbernadettebrooklyn.com,https://stb-bro.solutiosoftware.com/administrator,brooklyn/stb-bro
StB-StL,wold,,3,dalaran,stbernadetteslw.org,https://stb-stl.solutiosoftware.com/administrator,palmbeach/stb-stl
StBar-Bay,yale,,3,dalaran,stbarnabasbayville.com,https://stbar-bay.solutiosoftware.com/administrator,trenton/stbar-bay
StBarnabas-Indy,underhill,,3,dalaran,www.stbindy.org,https://stbarnabas-indy.solutiosoftware.com/administrator,indianapolis/stbarnabas-indy
StBart-Columbus,underhill,,3,dalaran,www.saintbartholomew.org,https://stbart-columbus.solutiosoftware.com/administrator,indianapolis/stbart-columbus
StBen-NC,yale,Tiny,3,dalaran,www.stbens.org,https://stben-nc.solutiosoftware.com/administrator,lincoln/stben-nc
StBer-Ells,moria2,Tiny,3,crystalsong,stbstistj.com,https://stber-ells.solutiosoftware.com/administrator,salina/stber-ells
StBern-Levit,thalos,,3,dalaran,www.stbernardchurch.org,https://stbern-levit.solutiosoftware.com/administrator,rc/stbern-levit
StBon-Antonio,wold,,3,dalaran,stbonaventuresa.org,https://stbon-antonio.solutiosoftware.com/administrator,sanantonio/stbon-antonio
StBon-Columbus,underhill,,3,dalaran,stboncc.com,https://stbon-columbus.solutiosoftware.com/administrator,omaha/stbon-columbus
StBon-Elmont,yale,,3,dalaran,www.saintbonifaceelmont.com,https://stbon-elmont.solutiosoftware.com/administrator,rc/stbon-elmont
StBon-HB,moria2,Medium,3,crystalsong,www.stbonaventure.org,https://stbon-hb.solutiosoftware.com/administrator,orange/stbon-hb
StBon-Tipton,wold,,3,dalaran,osbornecountycatholic.org,https://stbon-tipton.solutiosoftware.com/administrator,salina/stbon-tipton
StBosco-Hammond,wold,,3,dalaran,sjbhammond.org,https://stbosco-hammond.solutiosoftware.com/administrator,gary/stbosco-hammond
StBrig-Memphis,underhill,,3,dalaran,www.stbrigidmemphis.org,https://stbrig-memphis.solutiosoftware.com/administrator,memphis/stbrig-memphis
StBrig-West,zelda,,3,dalaran,saintbrigid.net,https://stbrig-west.solutiosoftware.com/administrator,rc/stbrig-west
StC-Board,wold,,3,dalaran,www.stcatherineparishboardman.org,https://stc-board.solutiosoftware.com/administrator,youngstown/stc-board
STC-Coll,moria2,Small,3,crystalsong,stteresaofcalcuttanj.org,https://stc-coll.solutiosoftware.com/administrator,camden/stc-coll
StC-Sickler,valinor,,3,dalaran,www.churchofscb.org,https://stc-sickler.solutiosoftware.com/administrator,camden/stc-sickler
StCat-Emporia,valinor,,3,dalaran,stcatherineemporia.org,https://stcat-emporia.solutiosoftware.com/administrator,kck/stcat-emporia
StCat-Franklin,wold,,3,dalaran,stcat-franklin.solutiosoftware.com,https://stcat-franklin.solutiosoftware.com/administrator,rc/stcat-franklin
StCat-Horsham,wold,,3,dalaran,stcatherineschurch.org,https://stcat-horsham.solutiosoftware.com/administrator,philadelphia/stcat-horsham
StCats-Wichita,wold,,3,dalaran,saintcatherinewichita.com,https://stcats-wichita.solutiosoftware.com/administrator,wichita/stcats-wichita
StCecilia-Hastings,yale,,3,dalaran,www.stceciliahastings.org,https://stcecilia-hastings.solutiosoftware.com/administrator,lincoln/stcecilia-hastings
StChris-Speed,wold,,3,dalaran,www.stchrisindy.org,https://stchris-speed.solutiosoftware.com/administrator,indianapolis/stchris-speed
StDom-GC,underhill,,3,dalaran,st-dominic.org,https://stdom-gc.solutiosoftware.com/administrator,dodgecity/stdom-gc
StDom-Security,yale,,3,dalaran,www.stdominiconline.org,https://stdom-security.solutiosoftware.com/administrator,coloradosprings/stdom-security
StDorothy-Lincoln,yale,,3,dalaran,stdorothys.com,https://stdorothy-lincoln.solutiosoftware.com/administrator,charlotte/stdorothy-lincoln
StE-Collegeville,valinor,,3,dalaran,www.steleanor.com,https://ste-collegeville.solutiosoftware.com/administrator,philadelphia/ste-collegeville
StEd-Fair,moria2,Tiny,3,crystalsong,www.stedwardfairfield.com,https://sted-fair.solutiosoftware.com/administrator,belleville/sted-fair
StEd-Louisville,valinor,,3,dalaran,stedwardchurch.com,https://sted-louisville.solutiosoftware.com/administrator,louisville/sted-louisville
StFrancis-Geneva,wold,,3,dalaran,school.sfdslg.org,https://stfrancis-geneva.solutiosoftware.com/administrator,milwaukee/stfrancis-geneva
StFrancis-Patch,wold,,3,dalaran,www.stfrancispatchogue.com,https://stfrancis-patch.solutiosoftware.com/administrator,rc/stfrancis-patch
StGabriel-Indy,wold,,3,dalaran,stgabrielindy.org,https://stgabriel-indy.solutiosoftware.com/administrator,indianapolis/stgabriel-indy
StGerald-Ralston,wold,,3,dalaran,stgerald.org,https://stgerald-ralston.solutiosoftware.com/administrator,omaha/stgerald-ralston
StGertrude-Bay,wold,,3,dalaran,stgerts.org,https://stgertrude-bay.solutiosoftware.com/administrator,rc/stgertrude-bay
StGreg-Enid,valinor,,3,dalaran,www.stgregoryenid.com,https://stgreg-enid.solutiosoftware.com/administrator,okc/stgreg-enid
StGreg-Shaw,thalos,Medium,3,dalaran,monksok.org,https://stgreg-shaw.solutiosoftware.com/administrator,okc/stgreg-shaw
StGreg-VB,underhill,,3,dalaran,www.stgregoryvabeach.org,https://stgreg-vb.solutiosoftware.com/administrator,richmond/stgreg-vb
StH-FM,underhill,,3,dalaran,www.sthelenachurch.org,https://sth-fm.solutiosoftware.com/administrator,denver/sth-fm
StHugh-Hunt,zelda,,3,dalaran,sthugh.org,https://sthugh-hunt.solutiosoftware.com/administrator,rc/sthugh-hunt
StIzzy-Man,zelda,,3,dalaran,stisidores.com,https://stizzy-man.solutiosoftware.com/administrator,salina/stizzy-man
StJ-Omaha,wold,,3,dalaran,stjamescatholicchurch.org,https://stj-omaha.solutiosoftware.com/administrator,omaha/stj-omaha
StJames-Eagle,yale,,3,dalaran,www.stjamesmukwonago.org,https://stjames-eagle.solutiosoftware.com/administrator,milwaukee/stjames-eagle
StJames-McMinnville,underhill,,3,dalaran,www.stjamesmac.com,https://stjames-mcminnville.solutiosoftware.com/administrator,portlandinoregon/stjames-mcminnville
StJames-Rock,yale,,3,dalaran,www.stjamesrockford.com,https://stjames-rock.solutiosoftware.com/administrator,rockford/stjames-rock
StJames-Spring,valinor,,3,dalaran,www.stjta.org,https://stjames-spring.solutiosoftware.com/administrator,gh/stjames-spring
StJo-Britain,underhill,,3,dalaran,stjoachimct.org,https://stjo-britain.solutiosoftware.com/administrator,hartford/stjo-britain
StJoan-Harper,wold,,3,dalaran,stjoan-harper.solutiosoftware.com,https://stjoan-harper.solutiosoftware.com/administrator,wichita/stjoan-harper
StJoe-Andale,thalos,,3,dalaran,www.stjosephandale.com,https://stjoe-andale.solutiosoftware.com/administrator,wichita/stjoe-andale
StJoe-Auburn,thalos,Small,3,dalaran,auburnstjoseph-clara.org,https://stjoe-auburn.solutiosoftware.com/administrator,lincoln/stjoe-auburn
StJoe-Babylon,valinor,,3,dalaran,stjosephsbabylon.org,https://stjoe-babylon.solutiosoftware.com/administrator,rc/stjoe-babylon
StJoe-Beatrice,valinor,,3,dalaran,www.stjosephbeatrice.org,https://stjoe-beatrice.solutiosoftware.com/administrator,lincoln/stjoe-beatrice
StJoe-Conway,wold,,3,dalaran,stjoecs.org,https://stjoe-conway.solutiosoftware.com/administrator,wichita/stjoe-conway
StJoe-EW,moria2,,3,crystalsong,stjosephellinwood.com,https://stjoe-ew.solutiosoftware.com/administrator,dodgecity/stjoe-ew
StJoe-Freeburg,yale,,3,dalaran,www.stjosephfreeburg.org,https://stjoe-freeburg.solutiosoftware.com/administrator,belleville/stjoe-freeburg
StJoe-Harv,wold,,3,dalaran,stjosephharvard.org,https://stjoe-harv.solutiosoftware.com/administrator,rockford/stjoe-harv
StJoe-Hays,underhill,,3,dalaran,www.stj-church.com,https://stjoe-hays.solutiosoftware.com/administrator,salina/stjoe-hays
StJoe-Hum,moria2,Tiny,3,crystalsong,stjosephhumboldt.org,https://stjoe-hum.solutiosoftware.com/administrator,wichita/stjoe-hum
StJoe-Kan,valinor,,3,dalaran,stjosephkannapolis.com,https://stjoe-kan.solutiosoftware.com/administrator,charlotte/stjoe-kan
StJoe-King,valinor,,3,dalaran,www.stjoekp.com,https://stjoe-king.solutiosoftware.com/administrator,rc/stjoe-king
StJoe-Louisville,underhill,,3,dalaran,sjosephcatholic.org,https://stjoe-louisville.solutiosoftware.com/administrator,louisville/stjoe-louisville
StJoe-Middle,valinor,,3,dalaran,www.stjosephmiddletown.com,https://stjoe-middle.solutiosoftware.com/administrator,wilmington/stjoe-middle
StJoe-Norman,wold,,3,dalaran,stjosephsok.org,https://stjoe-norman.solutiosoftware.com/administrator,okc/stjoe-norman
StJoe-Ost,zelda,,3,dalaran,sjost.com,https://stjoe-ost.solutiosoftware.com/administrator,wichita/stjoe-ost
StJoe-River,underhill,Medium,3,dalaran,stjosephtomsriver.org,https://stjoe-river.solutiosoftware.com/administrator,trenton/stjoe-river
StJoe-Scott,thalos,Small,3,dalaran,stjosephsc.com,https://stjoe-scott.solutiosoftware.com/administrator,dodgecity/stjoe-scott
StJoe-Shawnee,yale,,3,dalaran,church.stjoeshawnee.org,https://stjoe-shawnee.solutiosoftware.com/administrator,kck/stjoe-shawnee
StJoe-Wichita,valinor,,3,dalaran,stjosephwichita.com,https://stjoe-wichita.solutiosoftware.com/administrator,wichita/stjoe-wichita
StJoe-York,thalos,,3,dalaran,stjosephyork.com,https://stjoe-york.solutiosoftware.com/administrator,lincoln/stjoe-york
StJohn-Beloit,underhill,Small,3,dalaran,www.stjohnsbeloit.org,https://stjohn-beloit.solutiosoftware.com/administrator,salina/stjohn-beloit
StJohn-Brandenburg,wold,,3,dalaran,www.stjohnonline.org,https://stjohn-brandenburg.solutiosoftware.com/administrator,louisville/stjohn-brandenburg
StJohn-Central,yale,,3,dalaran,stjohnofgodparish.org,https://stjohn-central.solutiosoftware.com/administrator,rc/stjohn-central
StJohn-Herington,valinor,Tiny,3,dalaran,highway4catholics.org,https://stjohn-herington.solutiosoftware.com/administrator,salina/stjohn-herington
StJohn-Mil,moria2,Medium,3,crystalsong,www.stjohnmililani.org,https://stjohn-mil.solutiosoftware.com/administrator,honolulu/stjohn-mil
StJohn-Plymouth,wold,,3,dalaran,sjbplymouth.org,https://stjohn-plymouth.solutiosoftware.com/administrator,milwaukee/stjohn-plymouth
StJohn-Riverhead,valinor,,3,dalaran,saintjohnriverhead.org,https://stjohn-riverhead.solutiosoftware.com/administrator,rc/stjohn-riverhead
StJohn-Whiting,thalos,,3,dalaran,www.stjohnbap.org,https://stjohn-whiting.solutiosoftware.com/administrator,gary/stjohn-whiting
StJohn-Wilmington,yale,Medium,3,dalaran,www.sjbdel.org,https://stjohn-wilmington.solutiosoftware.com/administrator,wilmington/stjohn-wilmington
StJohnC-Philly,wold,,3,dalaran,www.stjohncantiusparish.org,https://stjohnc-philly.solutiosoftware.com/administrator,philadelphia/stjohnc-philly
StJude,wold,,3,dalaran,stjudewichita.org,https://stjude.solutiosoftware.com/administrator,wichita/stjude
StJude-Indy,yale,,3,dalaran,www.stjudeindy.org,https://stjude-indy.solutiosoftware.com/administrator,indianapolis/stjude-indy
StKat-Philly,wold,,3,,stkat-philly.solutiosoftware.com,https://stkat-philly.solutiosoftware.com/administrator,philadelphia/stkat-philly
StLau-Elgin,valinor,,3,dalaran,stlaurenceelgin.org,https://stlau-elgin.solutiosoftware.com/administrator,rockford/stlau-elgin
StLaw-Alex,wold,,3,dalaran,stlaw-alex.solutiosoftware.com,https://stlaw-alex.solutiosoftware.com/administrator,arlington/stlaw-alex
StLaw-Indy,wold,,3,dalaran,www.saintlawrence.net,https://stlaw-indy.solutiosoftware.com/administrator,indianapolis/stlaw-indy
StLaw-Say,valinor,,3,dalaran,www.stlawrencesayville.org,https://stlaw-say.solutiosoftware.com/administrator,rc/stlaw-say
StLeo-Doug,yale,,3,dalaran,stsleoandmartin.com,https://stleo-doug.solutiosoftware.com/administrator,lincoln/stleo-doug
StLiz-Melville,wold,,3,dalaran,stelizabeth.org,https://stliz-melville.solutiosoftware.com/administrator,rc/stliz-melville
StLouis-Sound,wold,,3,dalaran,www.stlouisdm.org,https://stlouis-sound.solutiosoftware.com/administrator,rc/stlouis-sound
StLuke-Indy,underhill,,3,dalaran,www.stluke.org,https://stluke-indy.solutiosoftware.com/administrator,indianapolis/stluke-indy
StM-Gas,yale,,3,dalaran,www.stmccg.org,https://stm-gas.solutiosoftware.com/administrator,charlotte/stm-gas
StM-Lincoln,yale,,3,dalaran,www.stmichaellincoln.org,https://stm-lincoln.solutiosoftware.com/administrator,lincoln/stm-lincoln
STM-Man,underhill,,3,dalaran,stmmanhattan.com,https://stm-man.solutiosoftware.com/administrator,salina/stm-man
StM-Mul,underhill,,3,dalaran,stmichaelmulvane.org,https://stm-mul.solutiosoftware.com/administrator,wichita/stm-mul
StMark,thalos,,3,dalaran,stmarkks.org,https://stmark.solutiosoftware.com/administrator,wichita/stmark
StMark-Seagirt,zelda,,3,dalaran,stmarkseagirt.com,https://stmark-seagirt.solutiosoftware.com/administrator,trenton/stmark-seagirt
StMark-Shoreham,valinor,,3,dalaran,stmarkshoreham.org,https://stmark-shoreham.solutiosoftware.com/administrator,rc/stmark-shoreham
StMartha-Union,wold,,3,dalaran,saintmartha.org,https://stmartha-union.solutiosoftware.com/administrator,rc/stmartha-union
StMartin-Beth,underhill,,3,dalaran,www.smtbethpage.org,https://stmartin-beth.solutiosoftware.com/administrator,rc/stmartin-beth
StMartin-Martin,underhill,,3,dalaran,www.stmtours.org,https://stmartin-martin.solutiosoftware.com/administrator,indianapolis/stmartin-martin
StMary-Bar,underhill,,3,dalaran,stmarybarnegat.com,https://stmary-bar.solutiosoftware.com/administrator,trenton/stmary-bar
StMary-Bell,thalos,,3,dalaran,stmarysbellevue.com,https://stmary-bell.solutiosoftware.com/administrator,omaha/stmary-bell
StMary-Colby,yale,Medium,3,dalaran,stmarycolby.org,https://stmary-colby.solutiosoftware.com/administrator,lacrosse/stmary-colby
StMary-Davey,yale,,3,dalaran,stmarydavey.org,https://stmary-davey.solutiosoftware.com/administrator,lincoln/stmary-davey
StMary-Derby,valinor,,3,dalaran,www.stmarysderby.com,https://stmary-derby.solutiosoftware.com/administrator,wichita/stmary-derby
StMary-Ell,moria2,,3,crystalsong,stmarysofellis.org,https://stmary-ell.solutiosoftware.com/administrator,salina/stmary-ell
StMary-GC,thalos,,3,dalaran,stmarygc.com,https://stmary-gc.solutiosoftware.com/administrator,dodgecity/stmary-gc
StMary-George,thalos,,3,dalaran,saintmaryparish.org,https://stmary-george.solutiosoftware.com/administrator,boston/stmary-george
StMary-Guth,valinor,Small,3,dalaran,stmaryguthrie.com,https://stmary-guth.solutiosoftware.com/administrator,okc/stmary-guth
StMary-Hartford,underhill,Small,3,dalaran,stmaryshartford.org,https://stmary-hartford.solutiosoftware.com/administrator,kck/stmary-hartford
StMary-Indy,underhill,,3,dalaran,saintmarysindy.org,https://stmary-indy.solutiosoftware.com/administrator,indianapolis/stmary-indy
StMary-Jackson,yale,Medium,3,dalaran,www.stmaryjackson.org,https://stmary-jackson.solutiosoftware.com/administrator,atlanta/stmary-jackson
StMary-Minooka,yale,,3,dalaran,stmarysminooka.com,https://stmary-minooka.solutiosoftware.com/administrator,joliet/stmary-minooka
StMary-Nan,moria2,,3,crystalsong,stmarysnantucket.org,https://stmary-nan.solutiosoftware.com/administrator,fallriver/stmary-nan
StMary-New,zelda,,3,dalaran,stmarynewton.org,https://stmary-new.solutiosoftware.com/administrator,wichita/stmary-new
StMary-Phoenixville,wold,,3,,stmary-phoenixville.solutiosoftware.com,https://stmary-phoenixville.solutiosoftware.com/administrator,philadelphia/stmary-phoenixville
StMary-Sycamore,wold,,3,dalaran,stmarysycamore.org,https://stmary-sycamore.solutiosoftware.com/administrator,rockford/stmary-sycamore
StMary-Toccoa,wold,,3,dalaran,www.stmarystoccoa.org,https://stmary-toccoa.solutiosoftware.com/administrator,atlanta/stmary-toccoa
StMary-Walnut,underhill,Small,3,dalaran,www.stmary-wc.org,https://stmary-walnut.solutiosoftware.com/administrator,oakland/stmary-walnut
StMary-Wayne,wold,,3,dalaran,www.familyofic.org,https://stmary-wayne.solutiosoftware.com/administrator,lincoln/stmary-wayne
StMary-Wood,valinor,,3,dalaran,www.stmary-woodstock.org,https://stmary-wood.solutiosoftware.com/administrator,rockford/stmary-wood
StMatt-Bell,yale,,3,dalaran,stmatthewbellevue.org,https://stmatt-bell.solutiosoftware.com/administrator,omaha/stmatt-bell
StMatt-Champ,valinor,,3,dalaran,www.stmatt.net,https://stmatt-champ.solutiosoftware.com/administrator,peoria/stmatt-champ
StMatt-Top,valinor,,3,dalaran,saintmatthews.org,https://stmatt-top.solutiosoftware.com/administrator,kck/stmatt-top
StMichael-Girard,valinor,Small,3,dalaran,stmichaelgirard.com,https://stmichael-girard.solutiosoftware.com/administrator,wichita/stmichael-girard
StMichael-Indy,valinor,,3,dalaran,saintmichaelindy.org,https://stmichael-indy.solutiosoftware.com/administrator,indianapolis/stmichael-indy
StMichael-Louisville,yale,,3,dalaran,stmichaelchurch.org,https://stmichael-louisville.solutiosoftware.com/administrator,louisville/stmichael-louisville
StMonica-Car,valinor,,3,dalaran,www.stmonicaparish.com,https://stmonica-car.solutiosoftware.com/administrator,rockford/stmonica-car
StNic-Kin,yale,,3,dalaran,stnicholaskinsley.org,https://stnic-kin.solutiosoftware.com/administrator,dodgecity/stnic-kin
StNic-Mun,moria2,Tiny,3,crystalsong,stnicholasmunster.com,https://stnic-mun.solutiosoftware.com/administrator,parma/stnic-mun
StNic-Orl,moria2,Small,3,crystalsong,orlandobyzantine.com,https://stnic-orl.solutiosoftware.com/administrator,passaic/stnic-orl
StPat-Bluff,underhill,,3,dalaran,www.stpatrickcb.org,https://stpat-bluff.solutiosoftware.com/administrator,desmoines/stpat-bluff
StPat-Cleveland,wold,,3,,stpat-cleveland.solutiosoftware.com,https://stpat-cleveland.solutiosoftware.com/administrator,cleveland/stpat-cleveland
StPat-Elkhorn,underhill,,3,dalaran,stpatrickselkhorn.org,https://stpat-elkhorn.solutiosoftware.com/administrator,milwaukee/stpat-elkhorn
StPat-Hunt,valinor,,3,dalaran,stpathuntington.org,https://stpat-hunt.solutiosoftware.com/administrator,rc/stpat-hunt
StPat-IC,wold,,3,dalaran,stpatsic.com,https://stpat-ic.solutiosoftware.com/administrator,davenport/stpat-ic
StPat-Laurie,underhill,,3,dalaran,www.stpatrickcatholicchurch.org,https://stpat-laurie.solutiosoftware.com/administrator,jeffersoncity/stpat-laurie
StPat-Tol,moria2,,3,crystalsong,www.stpatricktolono.com,https://stpat-tol.solutiosoftware.com/administrator,peoria/stpat-tol
StPat-Wichita,valinor,,3,dalaran,www.stpatswichita.org,https://stpat-wichita.solutiosoftware.com/administrator,wichita/stpat-wichita
StPats-King,underhill,,3,dalaran,stpatskingman.org,https://stpats-king.solutiosoftware.com/administrator,wichita/stpats-king
StPats-Par,zelda,,3,dalaran,stpatricksparsons.org,https://stpats-par.solutiosoftware.com/administrator,wichita/stpats-par
StPaul-Del,valinor,,3,dalaran,stpaulscatholic.org,https://stpaul-del.solutiosoftware.com/administrator,okc/stpaul-del
StPaul-Douglas,wold,,3,dalaran,stpaul-holyfamily.org,https://stpaul-douglas.solutiosoftware.com/administrator,savannah/stpaul-douglas
StPaul-Louisville,thalos,,3,dalaran,www.stpaulparishlouisvilleky.org,https://stpaul-louisville.solutiosoftware.com/administrator,louisville/stpaul-louisville
StPaul-SanPablo,valinor,,3,dalaran,www.stpaulchurchsanpablo.org,https://stpaul-sanpablo.solutiosoftware.com/administrator,oakland/stpaul-sanpablo
StPaul-WSU,valinor,,3,dalaran,stpaulwsu.com,https://stpaul-wsu.solutiosoftware.com/administrator,wichita/stpaul-wsu
StPeter-DC,valinor,Medium,3,dalaran,saintpetersdc.org,https://stpeter-dc.solutiosoftware.com/administrator,dc/stpeter-dc
StPeter-Eaton,wold,,3,dalaran,stpeter-eaton.solutiosoftware.com,https://stpeter-eaton.solutiosoftware.com/administrator,lansing/stpeter-eaton
StPeter-Lexington,valinor,,3,dalaran,www.stpeterlex.org,https://stpeter-lexington.solutiosoftware.com/administrator,lexington/stpeter-lexington
StPeter-Lincoln,zelda,,3,dalaran,saintpeterlincoln.com,https://stpeter-lincoln.solutiosoftware.com/administrator,lincoln/stpeter-lincoln
StPeter-Port,wold,,3,dalaran,www.stpeterofalcantara.org,https://stpeter-port.solutiosoftware.com/administrator,rc/stpeter-port
StPeter-Troy,yale,,3,dalaran,www.saintpeterscatholic.church,https://stpeter-troy.solutiosoftware.com/administrator,milwaukee/stpeter-troy
StPhil-Lans,moria2,Tiny,3,crystalsong,www.stphilspa.com,https://stphil-lans.solutiosoftware.com/administrator,philadelphia/stphil-lans
StPhil-Northport,yale,,3,dalaran,www.spnpt.org,https://stphil-northport.solutiosoftware.com/administrator,rc/stphil-northport
StRaphael-East,yale,,3,dalaran,www.straphaelparish.org,https://straphael-east.solutiosoftware.com/administrator,rc/straphael-east
StRob-Freehold,valinor,,3,dalaran,www.strobert.cc,https://strob-freehold.solutiosoftware.com/administrator,trenton/strob-freehold
StRob-Omaha,yale,Medium,3,dalaran,www.stroberts.com,https://strob-omaha.solutiosoftware.com/administrator,omaha/strob-omaha
StRoch-Indy,valinor,,3,dalaran,www.strochindy.org,https://stroch-indy.solutiosoftware.com/administrator,indianapolis/stroch-indy
StRose,valinor,Small,3,dalaran,strosemtvernon.com,https://strose.solutiosoftware.com/administrator,wichita/strose
StRose-Frank,underhill,,3,dalaran,saintrose.net,https://strose-frank.solutiosoftware.com/administrator,indianapolis/strose-frank
StRose-Hampton,valinor,,3,dalaran,www.saintrosalie.com,https://strose-hampton.solutiosoftware.com/administrator,rc/strose-hampton
StSimon-Louisville,thalos,,3,dalaran,mbs-parish.com,https://stsimon-louisville.solutiosoftware.com/administrator,louisville/stsimon-louisville
StSteph-Louisville,yale,,3,dalaran,ssmartyr.org,https://ststeph-louisville.solutiosoftware.com/administrator,louisville/ststeph-louisville
StSteph-Mir,moria2,,3,crystalsong,www.ststephenparish.net,https://ststeph-mir.solutiosoftware.com/administrator,miami/ststeph-mir
StTeresa-Lincoln,zelda,,3,dalaran,stlfchurch.org,https://stteresa-lincoln.solutiosoftware.com/administrator,lincoln/stteresa-lincoln
StWalter-Ros,yale,,3,dalaran,www.stwalterchurch.com,https://stwalter-ros.solutiosoftware.com/administrator,joliet/stwalter-ros
StWen-Dick,zelda,,3,dalaran,stwenceslausnd.com,https://stwen-dick.solutiosoftware.com/administrator,bismark/stwen-dick
