Code,Server,Service Tier,CMS,Branch,Primary Domain,Admin Link,Web Dir
Kansas-CC,yale,Small,3,dalaran,www.kansascatholic.org,https://kansas-cc.solutiosoftware.com/administrator,nra/kansas-cc
KofC-GA,wold,Medium,3,dalaran,www.gakofc.org,https://kofc-ga.solutiosoftware.com/administrator,nra/kofc-ga
KS-Children,yale,Tiny,3,dalaran,www.kssociety.org,https://ks-children.solutiosoftware.com/administrator,nra/ks-children
Lansing,underhill,,3,dalaran,stfrancislansing.org,https://lansing.solutiosoftware.com/administrator,kck/lansing
Larned,moria2,,3,crystalsong,sacredheartlarned.org,https://larned.solutiosoftware.com/administrator,dodgecity/larned
LightStorm,yale,Tiny,3,dalaran,lightstorm.solutiosoftware.com,https://lightstorm.solutiosoftware.com/administrator,nra/lightstorm
Linc-Dio,underhill,Large,3,dalaran,www.lincolndiocese.org,https://linc-dio.solutiosoftware.com/administrator,lincoln/linc-dio
Lincoln-Cathedral,underhill,,3,dalaran,www.cathedraloftherisenchrist.org,https://lincoln-cathedral.solutiosoftware.com/administrator,lincoln/lincoln-cathedral
LivingRosary,thalos,Tiny,3,dalaran,thelivingrosaryapostolate.com,https://livingrosary.solutiosoftware.com/administrator,nra/livingrosary
LMSteel,moria2,Tiny,3,crystalsong,lmsteel.net,https://lmsteel.solutiosoftware.com/administrator,nra/lmsteel
Lo-Bros,zelda,Small,3,dalaran,franciscanstor.org,https://lo-bros.solutiosoftware.com/administrator,nra/lo-bros
Lords-Diner,wold,Small,3,dalaran,thelordsdiner.org,https://lords-diner.solutiosoftware.com/administrator,wichita/lords-diner
Louisville-Vocations,yale,Medium,3,dalaran,www.archlouvocations.org,https://louisville-vocations.solutiosoftware.com/administrator,louisville/louisville-vocations
Lynch,thalos,Medium,3,dalaran,www.lynchdevelopment.com,https://lynch.solutiosoftware.com/administrator,nra/lynch
Lyons,thalos,,3,dalaran,stpaulslyons.com,https://lyons.solutiosoftware.com/administrator,wichita/lyons
Mac,thalos,,3,dalaran,stjosephmcpherson.com,https://mac.solutiosoftware.com/administrator,wichita/mac
Magdalen,thalos,,3,dalaran,www.magdalenwichita.com,https://magdalen.solutiosoftware.com/administrator,wichita/magdalen
MAP-Maine,yale,,3,dalaran,www.maryagnespaul.org,https://map-maine.solutiosoftware.com/administrator,portland/map-maine
Martyrs-Lincoln,wold,,3,dalaran,martyrs-lincoln.solutiosoftware.com,https://martyrs-lincoln.solutiosoftware.com/administrator,lincoln/martyrs-lincoln
MQP-Louisville,underhill,,3,dalaran,www.maryqueenofpeace.net,https://mqp-louisville.solutiosoftware.com/administrator,louisville/mqp-louisville
Msgr-John,moria2,Tiny,3,crystalsong,machakos.org,https://msgr-john.solutiosoftware.com/administrator,nra/msgr-john
MSHF,moria2,Medium,3,crystalsong,www.theholyfamilysisters.com,https://mshf.solutiosoftware.com/administrator,nra/mshf
MSS-Lil,moria2,Small,3,crystalsong,www.ststephenthemartyr.info,https://mss-lil.solutiosoftware.com/administrator,atlanta/mss-lil
MTC-Top,wold,,3,dalaran,mtcctopeka.org,https://mtc-top.solutiosoftware.com/administrator,kck/mtc-top
Nashville-Vocations,wold,Small,3,dalaran,www.nashvocations.org,https://nashville-vocations.solutiosoftware.com/administrator,nashville/nashville-vocations
NeedNow,valinor,Tiny,3,dalaran,www.needyourightnow.com,https://neednow.solutiosoftware.com/administrator,nra/neednow
Nets,wold,Small,3,dalaran,castingnetsministries.com,https://nets.solutiosoftware.com/administrator,nra/nets
Nets-Inst,moria2,Small,3,crystalsong,castingnetsinstitute.com,https://nets-inst.solutiosoftware.com/administrator,nra/nets-inst
New-Pit,valinor,Small,3,dalaran,catholicgorillas.org,https://new-pit.solutiosoftware.com/administrator,wichita/new-pit
Norbertine-Canonesses,underhill,Large,3,dalaran,www.norbertinecanonesses.org,https://norbertine-canonesses.solutiosoftware.com/administrator,nra/norbertine-canonesses
NoSite-Domains,thalos,,3,dalaran,nosite-domains.example,https://nosite-domains.solutiosoftware.com/administrator,solutio/nosite-domains
NSRT,yale,Small,3,dalaran,nsrt.net,https://nsrt.solutiosoftware.com/administrator,nra/nsrt
Oakley,zelda,,3,dalaran,sjoakley.org,https://oakley.solutiosoftware.com/administrator,salina/oakley
OBS,moria2,Medium,3,crystalsong,www.olivben.org,https://obs.solutiosoftware.com/administrator,nra/obs
OLC-Holy,thalos,,3,dalaran,ourladyofthecross.com,https://olc-holy.solutiosoftware.com/administrator,springfieldma/olc-holy
OLG-Babylon,wold,,3,dalaran,www.ourladyofgrace.net,https://olg-babylon.solutiosoftware.com/administrator,rc/olg-babylon
OLG-Green,thalos,,3,dalaran,olgreenwood.org,https://olg-green.solutiosoftware.com/administrator,indianapolis/olg-green
OLG-Health,yale,Small,3,dalaran,www.catholicmentalhealthcenter.com,https://olg-health.solutiosoftware.com/administrator,nra/olg-health
OLG-Hutch,underhill,,3,dalaran,olghutch.com,https://olg-hutch.solutiosoftware.com/administrator,wichita/olg-hutch
OLG-Moorestown,wold,,3,dalaran,www.olgcnj.org,https://olg-moorestown.solutiosoftware.com/administrator,trenton/olg-moorestown
OLMC-Fairfield,wold,,3,dalaran,olmc-fairfield.solutiosoftware.com,https://olmc-fairfield.solutiosoftware.com/administrator,sacramento/olmc-fairfield
OLMC-Wickliffe,yale,,3,dalaran,www.olmcwickliffe.org,https://olmc-wickliffe.solutiosoftware.com/administrator,cleveland/olmc-wickliffe
OLOG-Wet,underhill,Small,3,dalaran,ologchurch.org,https://olog-wet.solutiosoftware.com/administrator,mobile/olog-wet
OLP-Clarksville,yale,Medium,3,dalaran,www.providencehigh.net,https://olp-clarksville.solutiosoftware.com/administrator,indianapolis/olp-clarksville
OLPH-Con,valinor,Small,3,dalaran,olphconcordia.org,https://olph-con.solutiosoftware.com/administrator,salina/olph-con
OLPH-Hammond,wold,,3,dalaran,olph-hammond.solutiosoftware.com,https://olph-hammond.solutiosoftware.com/administrator,gary/olph-hammond
OLPH-Indio,thalos,,3,dalaran,www.olphindio.org,https://olph-indio.solutiosoftware.com/administrator,sanbernardino/olph-indio
OLPH-Maple,valinor,,3,dalaran,olphparish.com,https://olph-maple.solutiosoftware.com/administrator,trenton/olph-maple
OLPH-NewAlbany,underhill,,3,dalaran,olphna.org,https://olph-newalbany.solutiosoftware.com/administrator,indianapolis/olph-newalbany
OLPH-Wichita,wold,Small,3,dalaran,olph-wichita.solutiosoftware.com,https://olph-wichita.solutiosoftware.com/administrator,wichita/olph-wichita
OLV-Kiowa,valinor,,3,dalaran,www.olvonline.org,https://olv-kiowa.solutiosoftware.com/administrator,coloradosprings/olv-kiowa
Osage-Scranton,valinor,,3,dalaran,stpatrickchurches.org,https://osage-scranton.solutiosoftware.com/administrator,kck/osage-scranton
OurLady-Abington,yale,,3,dalaran,olhcabington.com,https://ourlady-abington.solutiosoftware.com/administrator,philadelphia/ourlady-abington
